user_id,interaction_date,age,gender,city,user_type,device_type,internet_quality,sessions_per_week,avg_session_minutes,completed_activities,pending_activities,support_tickets,response_time_hours,platform_errors,training_received,support_channel,platform_module,perceived_usability,recommendation_score,satisfaction_level,satisfied
USR00271,2025-05-18,45,Masculino,Guayaquil,Estudiante,Laptop,Media,6,44.5,12,1,1,4.1,0,Sí,Chat,Inscripciones,3.9,5,Baja,0
USR01381,2025-01-21,30,Masculino,Santo Domingo,Estudiante,Tablet,Media,4,40.4,16,4,1,3,0,Sí,Chat,Biblioteca digital,3.1,5,Media,0
USR00681,2025-02-13,35,Masculino,Cuenca,Docente,Laptop,Media,7,52.8,7,9,1,3.6,2,No,Autoservicio,Soporte académico,3.4,4,Baja,0
USR00598,2026-03-23,32,Masculino,Santo Domingo,Estudiante,Laptop,Media,7,70.3,16,1,2,10.8,0,Sí,Autoservicio,Biblioteca digital,3.6,6,Baja,0
USR00890,2026-03-20,33,Femenino,Santo Domingo,Estudiante,Móvil,Alta,1,24.9,9,11,1,4.3,1,No,Correo,Evaluaciones,3.8,7,Baja,0
USR01206,2025-03-07,42,Femenino,Quito,Estudiante,Tablet,Baja,2,52.5,14,9,5,4.6,8,No,Correo,Soporte académico,1.2,1,Baja,0
USR00552,2026-05-14,37,Femenino,Santo Domingo,Estudiante,Móvil,Alta,10,37.7,28,10,0,2.2,6,,Teléfono,Aula virtual,2.9,6,Media,0
USR01376,2025-03-08,23,Femenino,Quito,Estudiante,Móvil,Baja,4,45.1,17,10,3,7.7,7,No,Chat,Pagos,1,2,Baja,0
USR01182,2025-04-19,32,Femenino,Cuenca,Administrativo,Laptop,Alta,3,43.2,22,7,0,4.2,2,Sí,Chat,Biblioteca digital,4.4,8,Media,0
USR00713,2025-02-12,17,Masculino,Loja,Estudiante,Móvil,Baja,3,64.1,17,9,1,15.6,7,Sí,Chat,Biblioteca digital,1.7,1,Baja,0
USR00329,2025-02-07,36,Femenino,Quito,Estudiante,Laptop,Media,10,66,27,3,3,6,0,Sí,Autoservicio,Aula virtual,4,6,Alta,1
USR00538,2025-07-06,17,Masculino,Ibarra,Estudiante,Móvil,Baja,7,13.3,11,6,1,6.2,6,,Chat,Biblioteca digital,3.6,4,Media,0
USR00758,2025-02-11,17,Masculino,Quito,Estudiante,Móvil,Baja,5,6.4,19,12,4,8.9,7,No,Chat,Evaluaciones,1.6,2,Baja,0
USR00251,2026-02-21,35,Femenino,Cuenca,Estudiante,Móvil,Media,5,53.4,15,9,0,2,1,No,Autoservicio,Evaluaciones,3.2,3,Media,0
USR01444,2026-05-18,27,Masculino,Quito,Estudiante,Laptop,Alta,8,5,23,2,1,4.4,1,Sí,Autoservicio,Aula virtual,4.7,7,Media,0
USR00051,2025-11-29,32,Femenino,Quito,Estudiante,Móvil,Alta,2,24.1,18,5,0,3.1,1,Sí,Correo,Biblioteca digital,3.8,6,Alta,1
USR01111,2025-07-10,44,Femenino,Ibarra,Docente,Móvil,Baja,6,51.6,16,10,3,4.5,4,No,Autoservicio,Soporte académico,2,1,Media,0
USR00882,2026-01-18,54,Femenino,Manta,Estudiante,Móvil,Media,5,5,20,5,3,12.8,2,Sí,Teléfono,Soporte académico,3.8,8,Media,0
USR00246,2025-07-04,42,Masculino,Cuenca,Estudiante,Tablet,Media,11,34.3,16,0,3,5.5,1,Sí,Correo,Aula virtual,3.8,7,Alta,1
USR01467,2026-02-26,46,Masculino,Ambato,Docente,Móvil,Media,7,13.3,19,8,2,3.1,1,Sí,Chat,Evaluaciones,4.3,6,Baja,0
USR00192,2025-12-17,24,Femenino,Ambato,Estudiante,Laptop,Alta,6,53,14,7,2,3.7,5,Sí,Chat,Evaluaciones,5,8,Baja,0
USR00856,2026-05-25,25,Masculino,Guayaquil,Estudiante,Computador de escritorio,Alta,4,41.3,19,5,4,6.3,0,No,Autoservicio,Aula virtual,2.9,4,Baja,0
USR00648,2026-04-22,54,Masculino,Manta,Estudiante,Laptop,Media,5,53.7,24,7,2,10.7,3,No,Autoservicio,Aula virtual,2.9,5,Media,0
USR00954,2026-05-19,25,Femenino,Guayaquil,Administrativo,Móvil,Media,7,37.7,20,4,3,5.5,3,No,Chat,Aula virtual,2.1,2,Media,0
USR00130,2026-02-05,26,Masculino,Ambato,Estudiante,Laptop,Media,7,54.4,15,10,0,12.2,3,No,Correo,Inscripciones,2.1,2,Baja,0
USR00268,2026-03-11,27,Femenino,Quito,Estudiante,Computador de escritorio,,4,18.4,22,7,4,7.4,5,Sí,Chat,Evaluaciones,3.1,4,Baja,0
USR00077,2025-04-23,34,Femenino,Guayaquil,Estudiante,Móvil,Media,7,30.7,14,0,0,3.3,4,Sí,Autoservicio,Evaluaciones,3.3,4,Media,0
USR00475,2026-02-17,19,Femenino,Quito,Estudiante,Laptop,Media,7,36.8,15,1,0,8,0,Sí,Chat,Inscripciones,3.6,4,Media,0
USR00637,2026-03-07,42,Femenino,Quito,Estudiante,Laptop,Alta,7,25.7,9,10,0,6.3,4,Sí,Correo,Biblioteca digital,3.9,3,Media,0
USR01115,2025-02-18,37,Femenino,Cuenca,Estudiante,Tablet,Alta,5,14.2,15,8,3,5.7,1,Sí,Chat,Aula virtual,4.9,6,Alta,1
USR00157,2026-06-09,26,Masculino,Manta,Administrativo,Móvil,Media,8,14.8,4,4,0,3.5,2,No,Chat,Pagos,2.9,4,Media,0
USR00810,2025-06-04,43,Masculino,Guayaquil,Estudiante,Tablet,Media,6,30.3,11,9,0,8.5,1,No,Correo,Pagos,2.6,5,Media,0
USR00497,2025-12-04,28,Masculino,Guayaquil,Estudiante,Laptop,Media,4,23.4,15,5,0,2.5,0,Sí,Teléfono,Inscripciones,4.3,7,Alta,1
USR00620,2026-04-22,22,Femenino,Guayaquil,Estudiante,Móvil,Media,3,32.6,28,5,2,3.6,0,Sí,Chat,Evaluaciones,4.2,6,Media,0
USR00626,2025-07-09,23,Masculino,Cuenca,Docente,Móvil,Baja,10,27.5,23,6,2,20.6,5,Sí,Correo,Aula virtual,2.2,5,Baja,0
USR00693,2025-11-05,31,Masculino,Quito,Estudiante,Laptop,Alta,4,41.9,14,4,0,1.9,4,No,Correo,Aula virtual,3.7,4,Media,0
USR00661,2025-02-11,41,Femenino,Ambato,Estudiante,Móvil,,2,44,12,11,1,3.1,3,No,Autoservicio,Pagos,3.2,6,Media,0
USR01331,2026-05-27,25,Femenino,Ambato,Estudiante,Tablet,Media,4,21.3,16,5,1,3.1,4,No,Chat,Pagos,2.8,3,Baja,0
USR00697,2026-04-08,18,Femenino,Quito,Estudiante,Móvil,Alta,9,36.4,27,9,3,4.4,4,Sí,Correo,Aula virtual,4.4,7,Baja,0
USR01293,2026-01-31,26,Femenino,Quito,Docente,Laptop,Media,10,39.4,19,9,2,7.5,6,No,Correo,Aula virtual,1.7,0,Baja,0
USR00196,2025-06-14,42,Femenino,Quito,Estudiante,Laptop,Media,5,45.9,24,0,1,6.2,4,Sí,Correo,Pagos,2.8,5,Media,0
USR00316,2025-01-03,28,Masculino,Quito,Estudiante,Laptop,Media,9,59,14,5,3,5.6,0,No,Correo,Pagos,3.3,5,Baja,0
USR00136,2025-03-10,30,Femenino,Cuenca,Estudiante,Tablet,Media,2,23.4,14,10,0,1.4,0,No,Chat,Inscripciones,2.3,3,Baja,0
USR01462,2025-04-25,44,Masculino,Quito,Administrativo,Laptop,Media,10,24.2,19,7,1,3.1,0,No,Chat,Biblioteca digital,2.5,3,Media,0
USR00888,2025-04-13,31,Masculino,Quito,Estudiante,Tablet,Media,7,51.8,25,4,1,5.1,0,Sí,Autoservicio,Biblioteca digital,3.8,9,Media,0
USR00965,2025-03-20,28,Femenino,Quito,Docente,Laptop,Baja,7,49.3,26,4,3,23.1,5,Sí,Correo,Pagos,1.1,2,Media,0
USR00152,2025-08-18,18,Prefiere no decir,Manta,Estudiante,Móvil,Alta,3,55.8,10,8,0,1.2,0,Sí,Correo,Aula virtual,4.5,10,Alta,1
USR01031,2026-05-11,39,Femenino,Guayaquil,Estudiante,Tablet,Alta,2,22.2,9,5,3,4.8,0,No,Autoservicio,Inscripciones,3.7,5,Baja,0
USR01336,2026-05-27,42,Femenino,Ambato,Estudiante,Tablet,Baja,1,36.7,16,7,3,13.5,5,No,Correo,Pagos,1,0,Baja,0
USR00919,2025-12-11,32,Masculino,Ibarra,Estudiante,Computador de escritorio,Baja,4,64.6,22,16,2,31.2,5,No,Correo,Inscripciones,1,2,Baja,0
USR00233,2025-03-21,26,Masculino,Cuenca,Docente,Móvil,Baja,4,5,24,7,2,12.9,5,Sí,Autoservicio,Biblioteca digital,2.2,3,Media,0
USR00240,2025-09-14,33,Masculino,Quito,Estudiante,Móvil,Baja,4,50,26,7,3,4.6,3,Sí,Chat,Aula virtual,2.9,4,Baja,0
USR01038,2025-06-27,23,Masculino,Ibarra,Estudiante,Móvil,Media,6,57.9,17,3,3,7.1,1,Sí,Autoservicio,Inscripciones,4.5,9,Alta,1
USR00596,2026-01-31,31,Femenino,Quito,Docente,Laptop,Media,7,39.5,22,9,0,2.8,3,Sí,Autoservicio,Evaluaciones,3,5,Baja,0
USR00282,2025-08-30,30,Femenino,Loja,Estudiante,Laptop,Media,5,49.5,16,5,1,3.2,0,No,Correo,Evaluaciones,3.1,5,Baja,0
USR00998,2025-04-16,46,Masculino,Quito,Estudiante,Móvil,Media,5,29.1,16,10,0,3.5,2,No,Correo,Soporte académico,2,5,Baja,0
USR00940,2025-08-18,38,Masculino,Loja,Estudiante,Laptop,,6,42.7,17,3,2,4.1,0,Sí,Correo,Aula virtual,3.7,8,Baja,0
USR01061,2026-03-22,31,Femenino,Quito,Estudiante,Móvil,Baja,4,17,8,9,4,5.4,11,No,Chat,Inscripciones,1,2,Media,0
USR00122,2026-02-08,30,Femenino,Cuenca,Estudiante,Computador de escritorio,Media,4,13.2,16,7,2,9.9,2,Sí,Chat,Evaluaciones,3.6,7,Baja,0
USR00994,2026-04-16,26,Masculino,Quito,Estudiante,Móvil,Alta,2,38.8,8,9,0,0.7,3,No,Correo,Soporte académico,4.1,7,Media,0
USR01311,2025-02-01,28,Femenino,Quito,Estudiante,Laptop,Media,6,35.4,13,7,1,7.4,3,Sí,Chat,Aula virtual,3.6,7,Baja,0
USR00567,2025-07-12,42,Femenino,Manta,Estudiante,Laptop,,4,44,17,4,2,6.6,0,Sí,Teléfono,Pagos,4.6,9,Alta,1
USR01294,2025-05-16,35,Masculino,Cuenca,Estudiante,Móvil,Media,8,24,26,1,2,4,3,Sí,Autoservicio,Biblioteca digital,2.6,4,Baja,0
USR00951,2025-05-16,30,Femenino,Guayaquil,Estudiante,Laptop,Baja,6,21.1,19,7,3,4.2,2,Sí,Chat,Aula virtual,2.8,4,Baja,0
USR00125,2026-04-18,50,Femenino,Manta,Estudiante,Laptop,,7,34.4,21,1,0,5.1,3,Sí,Autoservicio,Aula virtual,3.1,6,Media,0
USR00342,2026-02-02,35,Masculino,Ibarra,Estudiante,Laptop,Media,3,44.6,8,6,0,1.5,3,No,Chat,Evaluaciones,2.9,4,Media,0
USR00084,2025-08-12,17,Masculino,Manta,Estudiante,Móvil,Media,8,55.5,24,3,0,7.9,2,Sí,Chat,Soporte académico,3.1,4,Media,0
USR01079,2025-04-21,18,Masculino,Guayaquil,Administrativo,Tablet,Media,6,55.6,18,8,0,3.4,0,Sí,Chat,Aula virtual,4,7,Baja,0
USR01340,2025-05-04,22,Femenino,Cuenca,Estudiante,Móvil,Baja,5,46.8,24,9,3,8.9,5,No,Teléfono,Aula virtual,1.7,0,Baja,0
USR01372,2025-09-02,24,Prefiere no decir,Quito,Estudiante,Laptop,Baja,3,49.8,19,5,3,5.3,5,Sí,Teléfono,Aula virtual,2,3,Baja,0
USR01323,2025-10-30,25,Femenino,Ibarra,Estudiante,Móvil,Baja,1,22.8,17,12,2,3.1,4,No,Chat,Soporte académico,2.8,4,Baja,0
USR01289,2025-09-22,31,Femenino,Guayaquil,Estudiante,Laptop,Media,4,53.5,21,1,0,5.3,4,Sí,Chat,Biblioteca digital,3.5,4,Media,0
USR00844,2025-12-17,35,Femenino,Santo Domingo,Estudiante,Laptop,Alta,4,69.1,5,10,2,4.3,0,No,Correo,Aula virtual,3.2,6,Baja,0
USR00600,2025-04-14,33,Femenino,Ambato,Estudiante,Móvil,Media,7,61.9,19,6,1,4.3,6,Sí,Chat,Biblioteca digital,2.9,5,Media,0
USR00739,2025-11-18,30,Femenino,Santo Domingo,Docente,Móvil,Alta,7,39.3,23,10,0,2.7,3,No,Chat,Evaluaciones,4.1,5,Baja,0
USR01050,2026-02-23,26,Masculino,Cuenca,Estudiante,Tablet,Media,3,29.7,12,4,1,3.5,0,Sí,Autoservicio,Biblioteca digital,4,7,Alta,1
USR00970,2025-08-22,38,Masculino,Quito,Estudiante,Móvil,Alta,6,53.7,18,5,3,7.2,2,Sí,Correo,Evaluaciones,3.4,7,Media,0
USR00654,2026-04-12,40,Femenino,Ibarra,Estudiante,Computador de escritorio,Alta,2,46.6,14,5,0,9,0,Sí,Chat,Aula virtual,4.5,8,Alta,1
USR01023,2025-12-06,29,Femenino,Santo Domingo,Estudiante,Tablet,Media,6,35.9,13,5,0,1.6,2,Sí,Chat,Soporte académico,3.7,6,Baja,0
USR00687,2025-10-24,31,Femenino,Loja,Estudiante,Computador de escritorio,Media,5,13.3,9,8,1,4.9,2,No,Chat,Evaluaciones,3,4,Media,0
USR00190,2025-01-09,28,Masculino,Guayaquil,Estudiante,Laptop,Alta,4,39.9,18,6,1,11.2,4,No,Correo,Evaluaciones,2.7,4,Baja,0
USR00527,2025-04-21,17,Masculino,Cuenca,Estudiante,Móvil,Media,3,15.2,18,5,3,12.5,0,No,Autoservicio,Pagos,2.3,4,Media,0
USR00442,2025-09-08,33,Masculino,Quito,Estudiante,Móvil,Baja,5,46.6,23,17,3,4.3,8,No,Correo,Inscripciones,1.3,0,Media,0
USR00096,2026-02-03,33,Masculino,Cuenca,Estudiante,Móvil,Alta,4,42,14,10,0,1.9,1,No,Chat,Evaluaciones,3.4,4,Media,0
USR00208,2026-05-29,41,Femenino,Quito,Estudiante,Laptop,Alta,5,57.5,12,10,1,21.9,0,No,Autoservicio,Soporte académico,2.5,3,Baja,0
USR00213,2025-02-10,20,Masculino,Quito,Estudiante,Laptop,Media,4,38.9,13,7,1,8.4,1,No,Correo,Pagos,2.3,4,Baja,0
USR01269,2025-01-10,33,Masculino,Quito,Estudiante,Móvil,Media,2,41,11,9,0,3.9,4,Sí,Chat,Evaluaciones,4.5,8,Baja,0
USR00558,2026-04-17,22,Masculino,Guayaquil,Estudiante,Móvil,Baja,6,59.4,24,8,3,7.9,4,Sí,Autoservicio,Soporte académico,2.3,3,Media,0
USR01010,2025-03-01,43,Masculino,Quito,Estudiante,Laptop,Baja,5,30.3,12,7,0,1.4,8,Sí,Autoservicio,Pagos,1.6,1,Baja,0
USR00145,2025-06-22,26,Masculino,Ambato,Estudiante,Laptop,Media,4,17.7,16,11,0,7.1,1,Sí,Correo,Aula virtual,3.7,6,Baja,0
USR00248,2025-11-30,35,Femenino,Quito,Estudiante,Laptop,Media,4,40.3,14,5,0,2.6,1,Sí,Autoservicio,Aula virtual,4,8,Alta,1
USR00159,2025-08-18,30,Femenino,Ambato,Docente,Laptop,Alta,4,48.2,13,8,0,3.2,0,No,Chat,Soporte académico,2.8,4,Baja,0
USR01477,2025-01-06,26,Masculino,Ambato,Estudiante,Móvil,Alta,2,42.1,16,8,2,5.3,5,No,Autoservicio,Evaluaciones,3.5,4,Media,0
USR01284,2025-04-08,22,Femenino,Ambato,Estudiante,Móvil,Baja,2,26.7,7,8,3,6.2,5,No,Teléfono,Pagos,1.4,1,Media,0
USR00023,2025-01-28,39,Masculino,Quito,Estudiante,Laptop,Media,6,59,18,6,0,4.9,3,Sí,Autoservicio,Aula virtual,3.4,8,Alta,1
USR00008,2025-08-14,34,Femenino,Manta,Estudiante,Laptop,Baja,2,44.8,14,0,2,4.9,4,Sí,Correo,Aula virtual,3.4,6,Baja,0
USR00045,2025-08-06,23,Femenino,Ambato,Estudiante,Laptop,Media,3,49.9,27,4,2,7.6,2,Sí,Teléfono,Aula virtual,3.8,7,Alta,1
USR01011,2025-10-20,33,Masculino,Quito,Estudiante,Laptop,Media,3,44.5,9,6,2,4,4,No,Correo,Evaluaciones,2.4,1,Media,0
USR01054,2025-12-19,36,Femenino,Quito,Estudiante,Laptop,Media,7,39.5,17,0,2,6.8,0,No,Chat,Aula virtual,2.6,5,Media,0
USR01044,2025-04-22,20,Masculino,Ambato,Estudiante,Móvil,Media,7,31.3,13,8,0,11.6,2,Sí,Autoservicio,Inscripciones,3.1,7,Alta,1
USR00187,2025-10-26,27,Femenino,Santo Domingo,Docente,Tablet,Alta,2,46.3,19,4,3,7.6,1,Sí,Correo,Aula virtual,4.3,8,Alta,1
USR00843,2025-10-14,30,Prefiere no decir,Quito,Estudiante,Móvil,Alta,1,36.2,17,10,1,6.4,3,Sí,Chat,Aula virtual,2.8,5,Baja,0
USR01223,2025-11-26,29,Femenino,Cuenca,Estudiante,Laptop,Media,7,97.8,27,12,3,8.5,2,No,Chat,Aula virtual,2.8,3,Baja,0
USR00664,2025-09-27,29,Femenino,Santo Domingo,Estudiante,Laptop,Alta,9,70.4,14,10,2,4.4,5,Sí,Correo,Aula virtual,4.4,6,Media,0
USR00483,2026-02-12,42,Femenino,Quito,Estudiante,Laptop,Media,3,20.5,19,16,2,4.7,0,No,Correo,Aula virtual,1.9,3,Baja,0
USR00905,2025-07-28,31,Femenino,Manta,Docente,Móvil,Alta,5,42,21,3,0,7.5,4,Sí,Chat,Pagos,3.3,5,Media,0
USR00990,2025-01-29,29,Femenino,Ambato,Estudiante,Móvil,Alta,6,78.5,22,11,0,0.8,3,Sí,Teléfono,Aula virtual,3.9,9,Media,0
USR00306,2025-02-18,34,Masculino,Ibarra,Estudiante,Móvil,Baja,2,23.6,23,5,4,4.8,4,Sí,Chat,Evaluaciones,3,3,Baja,0
USR00682,2026-06-17,29,Masculino,Guayaquil,Estudiante,Computador de escritorio,Media,5,55.2,15,2,3,4.8,0,Sí,Autoservicio,Soporte académico,3.8,6,Alta,1
USR00231,2025-05-09,33,Femenino,Manta,Estudiante,Laptop,Alta,6,15.8,22,2,0,1.5,0,Sí,Correo,Pagos,4.3,7,Alta,1
USR00081,2026-02-11,32,Masculino,Loja,Estudiante,Laptop,Media,4,21,16,2,1,2.2,1,No,Autoservicio,Pagos,3.7,5,Media,0
USR00340,2025-01-15,27,Femenino,Quito,Estudiante,Laptop,Alta,6,57.4,19,10,0,1.5,1,No,Autoservicio,Aula virtual,3.5,5,Baja,0
USR00372,2025-07-10,25,Femenino,Quito,Estudiante,Laptop,Media,9,44.2,18,12,0,10.4,3,No,Chat,Soporte académico,2,7,Baja,0
USR01083,2026-01-28,27,Masculino,Cuenca,Estudiante,Móvil,Baja,7,5.4,4,2,1,4.7,5,Sí,Correo,Biblioteca digital,2.5,4,Baja,0
USR00172,2025-04-27,26,Femenino,Guayaquil,Estudiante,Laptop,Alta,7,62.1,26,5,2,6.3,2,Sí,Chat,Biblioteca digital,5,8,Alta,1
USR00644,2025-01-18,21,Masculino,Ambato,Administrativo,Tablet,Media,9,24,22,8,4,8.5,0,Sí,Chat,Evaluaciones,3.6,3,Baja,0
USR00155,2026-02-24,40,Femenino,Santo Domingo,Estudiante,Móvil,Alta,7,63.3,12,4,0,2.9,3,No,Chat,Pagos,3,3,Media,0
USR00754,2025-12-14,38,Masculino,Guayaquil,Estudiante,Móvil,Alta,8,64.9,18,5,0,0.7,2,Sí,Autoservicio,Inscripciones,4.2,7,Alta,1
USR00695,2025-11-11,31,Masculino,Quito,Estudiante,Móvil,Baja,4,51.8,23,3,3,4.9,4,Sí,Correo,Aula virtual,2.3,4,Media,0
USR00679,2025-10-06,26,Femenino,Cuenca,Estudiante,Laptop,Alta,6,45.7,10,14,0,4.2,1,No,Correo,Soporte académico,2.6,4,Media,0
USR00591,2026-06-10,33,Femenino,Quito,Estudiante,Computador de escritorio,Media,10,18.5,18,6,3,25,1,Sí,Correo,Aula virtual,2.6,4,Baja,0
USR00398,2025-04-06,23,Femenino,Guayaquil,Estudiante,Móvil,Baja,3,46.3,15,7,2,2.4,7,Sí,Chat,Soporte académico,2.8,5,Media,0
USR00380,2026-06-06,17,Femenino,Ambato,Estudiante,Laptop,Media,8,23.5,13,6,0,1,1,Sí,Chat,Inscripciones,3.5,6,Alta,1
USR00068,2026-05-18,25,Femenino,Quito,Estudiante,Laptop,Alta,8,41,15,5,1,1.6,3,No,Teléfono,Soporte académico,2.9,3,Baja,0
USR01169,2025-12-22,35,Masculino,Guayaquil,Estudiante,Tablet,Alta,7,25.2,21,5,4,7.6,3,,Chat,Aula virtual,3.9,7,Alta,1
USR00992,2025-03-16,26,Masculino,Cuenca,Estudiante,Laptop,Alta,7,37.6,16,10,2,2.2,2,No,Chat,Evaluaciones,4,7,Baja,0
USR01490,2026-02-04,37,Masculino,Quito,Estudiante,Laptop,,6,54.5,14,6,0,9.9,0,No,Chat,Inscripciones,1.8,4,Baja,0
USR00908,2025-09-16,17,Masculino,Cuenca,Estudiante,Laptop,Alta,4,44.6,6,6,3,4.6,1,Sí,Chat,Aula virtual,4.4,7,Baja,0
USR00281,2026-01-12,31,Prefiere no decir,Cuenca,Docente,Móvil,Alta,8,21.3,29,5,3,9.8,4,No,Teléfono,Aula virtual,2.4,4,Media,0
USR00986,2025-05-31,42,Femenino,Guayaquil,Estudiante,Móvil,Alta,9,54,15,5,4,6.8,5,No,Teléfono,Aula virtual,2.6,3,Media,0
USR00184,2026-05-26,41,Femenino,Guayaquil,Estudiante,Laptop,Media,3,16,15,0,0,6.2,0,,Correo,Soporte académico,4.4,8,Media,0
USR00331,2025-05-22,46,Masculino,Santo Domingo,Estudiante,Laptop,Alta,5,22.5,11,5,1,6,0,No,Chat,Pagos,3.6,6,Media,0
USR00307,2025-09-11,39,Femenino,Ambato,Estudiante,Laptop,Media,7,50.6,23,8,2,4.2,2,Sí,Chat,Pagos,2.6,3,Media,0
USR01233,2025-03-04,32,Masculino,Quito,Estudiante,Móvil,Alta,4,46.6,14,4,1,2.9,2,No,Chat,Biblioteca digital,3.1,5,Baja,0
USR00651,2025-12-08,17,Femenino,Quito,Administrativo,Laptop,Alta,6,46.5,24,5,0,1.5,2,Sí,Chat,Inscripciones,4.3,5,Alta,1
USR01290,2026-02-22,44,Masculino,Quito,Estudiante,Laptop,Media,5,34.1,24,3,0,3.5,2,Sí,Chat,Soporte académico,3.3,7,Alta,1
USR01393,2025-05-28,24,Femenino,Loja,Estudiante,Móvil,Alta,2,61.1,12,10,0,1.3,2,Sí,Chat,Soporte académico,4,9,Baja,0
USR00435,2025-04-21,28,Prefiere no decir,Cuenca,Estudiante,Laptop,Media,3,54.4,9,6,3,8.2,2,Sí,Chat,Aula virtual,4.5,8,Baja,0
USR01081,2025-10-05,45,Femenino,Manta,Estudiante,Tablet,Media,11,26.7,8,12,3,5.6,0,No,Chat,Pagos,4.2,9,Baja,0
USR00636,2025-07-22,33,Femenino,Guayaquil,Estudiante,Laptop,Baja,2,19.4,14,11,3,11.7,5,Sí,Autoservicio,Aula virtual,2.8,4,Media,0
USR01363,2026-02-21,31,Masculino,Guayaquil,Estudiante,Móvil,Media,8,28.7,23,7,0,8.9,0,No,Chat,Biblioteca digital,1.7,1,Media,0
USR00729,2026-01-17,28,Femenino,Manta,Docente,Laptop,Media,6,45.9,15,6,0,3.8,1,Sí,Autoservicio,Inscripciones,4.3,8,Baja,0
USR01232,2025-07-01,41,Femenino,Quito,Estudiante,Móvil,Media,9,36.6,18,3,0,3.7,3,Sí,Correo,Aula virtual,3.8,6,Alta,1
USR00311,2025-05-07,28,Masculino,Cuenca,Estudiante,Computador de escritorio,Media,4,27.3,9,11,1,10.6,3,No,Correo,Aula virtual,2.6,3,Media,0
USR00554,2026-01-07,36,Masculino,Cuenca,Estudiante,Tablet,Alta,10,35.4,21,9,1,11.6,3,No,Correo,Evaluaciones,3.2,4,Media,0
USR00539,2026-06-15,33,Femenino,Quito,Estudiante,Laptop,Media,6,65.3,13,11,1,4.1,2,No,Autoservicio,Evaluaciones,2.7,5,Media,0
USR00255,2025-10-28,19,Masculino,Guayaquil,Estudiante,Móvil,Baja,7,45.9,15,4,5,12.9,3,Sí,Chat,Evaluaciones,2.6,3,Media,0
USR01035,2026-02-28,39,Femenino,Loja,Docente,Laptop,Media,8,35,18,6,1,4.5,4,No,Autoservicio,Inscripciones,1.6,3,Baja,0
USR00526,2026-06-05,17,Femenino,Manta,Estudiante,Laptop,Baja,5,59.8,13,21,4,8,2,No,Correo,Inscripciones,1,0,Baja,0
USR01473,2026-02-10,39,Femenino,Manta,Estudiante,Móvil,Media,9,35.9,28,8,1,10.6,2,No,Autoservicio,Aula virtual,2.2,5,Media,0
USR00286,2025-07-13,33,Femenino,Guayaquil,Estudiante,Laptop,Media,4,26.8,16,9,0,8.1,4,No,Autoservicio,Pagos,2,1,Baja,0
USR00117,2025-03-09,27,Masculino,Quito,Estudiante,Tablet,Baja,7,32.6,13,12,3,4.7,5,No,Chat,Inscripciones,1.1,0,Media,0
